text,label
I love this product!,positive
This is amazing!,positive
Great quality,positive
Very happy with this,positive
Highly recommend,positive
Excellent service,positive
Wonderful experience,positive
Love it!,positive
Perfect!,positive
So good,positive
This is terrible,negative
Very disappointed,negative
Poor quality,negative
Not worth it,negative
Avoid this,negative
Terrible experience,negative
Waste of money,negative
Very bad,negative
Horrible,negative
Disappointing,negative
Okay product,neutral
It was fine,neutral
Not great not bad,neutral
Average,neutral
It works,neutral
Fair,neutral
Decent,neutral
Adequate,neutral
Acceptable,neutral
Mediocre,neutral
I really love this,positive
Best purchase ever,positive
Exceeded expectations,positive
Amazing quality,positive
Highly satisfied,positive
Would buy again,positive
Five stars,positive
Fantastic,positive
Incredible,positive
Outstanding,positive
This is awful,negative
Never buying again,negative
Total waste,negative
Very poor,negative
Regret this purchase,negative
Extremely bad,negative
Worst ever,negative
Terrible quality,negative
Horrible service,negative
Stay away,negative
It's okay I guess,neutral
Nothing special,neutral
As expected,neutral
Standard,neutral
Normal,neutral
Not impressive,neutral
Could be better,neutral
Not bad at all,neutral
Pretty average,neutral
Fair enough,neutral
